,Global_ID,Name,video_A,video_B
0,vid_0,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf28_AAC_br10_ds2_us2_bitrateV_64106_bitrateA_10041.mp4
1,vid_1,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf26_AAC_br5_ds2_us2_bitrateV_87963_bitrateA_5085.mp4
2,vid_2,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf26_AAC_br10_ds2_us2_bitrateV_87963_bitrateA_10041.mp4
3,vid_3,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf28_AAC_br5_ds2_us2_bitrateV_64106_bitrateA_5085.mp4
4,vid_4,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf30_AAC_br5_ds2_us2_bitrateV_46962_bitrateA_5085.mp4
5,vid_5,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf30_AAC_br10_ds2_us2_bitrateV_46962_bitrateA_10041.mp4
6,vid_6,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11810_bitrateA_10041.mp4
7,vid_7,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf32_AAC_br5_ds4_us4_bitrateV_11810_bitrateA_5085.mp4
8,vid_8,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf60_AAC_br5_ds2_us2_bitrateV_10650_bitrateA_5085.mp4
9,vid_9,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf60_AAC_br10_ds2_us2_bitrateV_10650_bitrateA_10041.mp4
10,vid_10,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8628_bitrateA_5085.mp4
11,vid_11,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br5_ds1_us1_bitrateV_15128_bitrateA_5085.mp4
12,vid_12,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br10_ds2_us2_bitrateV_8628_bitrateA_10041.mp4
13,vid_13,MS,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br10_ds1_us1_bitrateV_15128_bitrateA_10041.mp4
14,vid_14,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf28_AAC_br10_ds2_us2_bitrateV_64106_bitrateA_10041.mp4
15,vid_15,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf26_AAC_br5_ds2_us2_bitrateV_87963_bitrateA_5085.mp4
16,vid_16,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf26_AAC_br10_ds2_us2_bitrateV_87963_bitrateA_10041.mp4
17,vid_17,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf28_AAC_br5_ds2_us2_bitrateV_64106_bitrateA_5085.mp4
18,vid_18,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf30_AAC_br5_ds2_us2_bitrateV_46962_bitrateA_5085.mp4
19,vid_19,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf30_AAC_br10_ds2_us2_bitrateV_46962_bitrateA_10041.mp4
20,vid_20,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11810_bitrateA_10041.mp4
21,vid_21,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf32_AAC_br5_ds4_us4_bitrateV_11810_bitrateA_5085.mp4
22,vid_22,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf60_AAC_br5_ds2_us2_bitrateV_10650_bitrateA_5085.mp4
23,vid_23,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf60_AAC_br10_ds2_us2_bitrateV_10650_bitrateA_10041.mp4
24,vid_24,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8628_bitrateA_5085.mp4
25,vid_25,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf63_AAC_br5_ds1_us1_bitrateV_15128_bitrateA_5085.mp4
26,vid_26,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf63_AAC_br10_ds2_us2_bitrateV_8628_bitrateA_10041.mp4
27,vid_27,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf63_AAC_br10_ds1_us1_bitrateV_15128_bitrateA_10041.mp4
28,vid_28,MS,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_driving_video_AVC_crf20_resemble_audio.mp4
29,vid_29,MS,MS_AVC_crf26_AAC_br5_ds2_us2_bitrateV_87963_bitrateA_5085.mp4,MS_AVC_crf26_AAC_br10_ds2_us2_bitrateV_87963_bitrateA_10041.mp4
30,vid_30,MS,MS_AVC_crf26_AAC_br10_ds2_us2_bitrateV_87963_bitrateA_10041.mp4,MS_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11810_bitrateA_10041.mp4
31,vid_31,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf26_AAC_br5_ds2_us2_bitrateV_111033_bitrateA_5133.mp4
32,vid_32,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf26_AAC_br10_ds2_us2_bitrateV_111033_bitrateA_10108.mp4
33,vid_33,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf28_AAC_br10_ds2_us2_bitrateV_64553_bitrateA_10108.mp4
34,vid_34,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf30_AAC_br5_ds2_us2_bitrateV_42294_bitrateA_5133.mp4
35,vid_35,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf28_AAC_br5_ds2_us2_bitrateV_64553_bitrateA_5133.mp4
36,vid_36,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf30_AAC_br10_ds2_us2_bitrateV_42294_bitrateA_10108.mp4
37,vid_37,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11556_bitrateA_10108.mp4
38,vid_38,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AVC_crf32_AAC_br5_ds4_us4_bitrateV_11556_bitrateA_5133.mp4
39,vid_39,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AV1_crf60_AAC_br10_ds2_us2_bitrateV_11333_bitrateA_10108.mp4
40,vid_40,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AV1_crf60_AAC_br5_ds2_us2_bitrateV_11333_bitrateA_5133.mp4
41,vid_41,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8920_bitrateA_5133.mp4
42,vid_42,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AV1_crf63_AAC_br5_ds1_us1_bitrateV_15496_bitrateA_5133.mp4
43,vid_43,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AV1_crf63_AAC_br10_ds1_us1_bitrateV_15507_bitrateA_10108.mp4
44,vid_44,SC,SC_driving_video_AVC_crf20_resemble_audio.mp4,SC_AV1_crf63_AAC_br10_ds2_us2_bitrateV_8919_bitrateA_10108.mp4
45,vid_45,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf26_AAC_br5_ds2_us2_bitrateV_111033_bitrateA_5133.mp4
46,vid_46,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf26_AAC_br10_ds2_us2_bitrateV_111033_bitrateA_10108.mp4
47,vid_47,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf28_AAC_br10_ds2_us2_bitrateV_64553_bitrateA_10108.mp4
48,vid_48,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf30_AAC_br5_ds2_us2_bitrateV_42294_bitrateA_5133.mp4
49,vid_49,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf28_AAC_br5_ds2_us2_bitrateV_64553_bitrateA_5133.mp4
50,vid_50,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf30_AAC_br10_ds2_us2_bitrateV_42294_bitrateA_10108.mp4
51,vid_51,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11556_bitrateA_10108.mp4
52,vid_52,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AVC_crf32_AAC_br5_ds4_us4_bitrateV_11556_bitrateA_5133.mp4
53,vid_53,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AV1_crf60_AAC_br10_ds2_us2_bitrateV_11333_bitrateA_10108.mp4
54,vid_54,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AV1_crf60_AAC_br5_ds2_us2_bitrateV_11333_bitrateA_5133.mp4
55,vid_55,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8920_bitrateA_5133.mp4
56,vid_56,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AV1_crf63_AAC_br5_ds1_us1_bitrateV_15496_bitrateA_5133.mp4
57,vid_57,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AV1_crf63_AAC_br10_ds1_us1_bitrateV_15507_bitrateA_10108.mp4
58,vid_58,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_AV1_crf63_AAC_br10_ds2_us2_bitrateV_8919_bitrateA_10108.mp4
59,vid_59,SC,SC_driving_video_AVC_crf20_original_audio_br10.mp4,SC_driving_video_AVC_crf20_resemble_audio.mp4
60,vid_60,SC,SC_AVC_crf26_AAC_br5_ds2_us2_bitrateV_111033_bitrateA_5133.mp4,SC_AVC_crf26_AAC_br10_ds2_us2_bitrateV_111033_bitrateA_10108.mp4
61,vid_61,SC,SC_AVC_crf26_AAC_br10_ds2_us2_bitrateV_111033_bitrateA_10108.mp4,SC_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11556_bitrateA_10108.mp4
62,vid_62,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf26_AAC_br10_ds2_us2_bitrateV_95784_bitrateA_10076.mp4
63,vid_63,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf26_AAC_br5_ds2_us2_bitrateV_95784_bitrateA_5110.mp4
64,vid_64,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf28_AAC_br10_ds2_us2_bitrateV_62602_bitrateA_10076.mp4
65,vid_65,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf28_AAC_br5_ds2_us2_bitrateV_62602_bitrateA_5110.mp4
66,vid_66,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf30_AAC_br5_ds2_us2_bitrateV_45309_bitrateA_5110.mp4
67,vid_67,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf30_AAC_br10_ds2_us2_bitrateV_45309_bitrateA_10076.mp4
68,vid_68,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf32_AAC_br10_ds4_us4_bitrateV_12456_bitrateA_10076.mp4
69,vid_69,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AVC_crf32_AAC_br5_ds4_us4_bitrateV_12456_bitrateA_5110.mp4
70,vid_70,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AV1_crf60_AAC_br5_ds2_us2_bitrateV_10624_bitrateA_5110.mp4
71,vid_71,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AV1_crf60_AAC_br10_ds2_us2_bitrateV_10627_bitrateA_10076.mp4
72,vid_72,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8578_bitrateA_5110.mp4
73,vid_73,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AV1_crf63_AAC_br5_ds1_us1_bitrateV_14156_bitrateA_5110.mp4
74,vid_74,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AV1_crf63_AAC_br10_ds1_us1_bitrateV_14224_bitrateA_10076.mp4
75,vid_75,AM,AM_driving_video_AVC_crf20_resemble_audio.mp4,AM_AV1_crf63_AAC_br10_ds2_us2_bitrateV_8578_bitrateA_10076.mp4
76,vid_76,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf26_AAC_br10_ds2_us2_bitrateV_95784_bitrateA_10076.mp4
77,vid_77,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf26_AAC_br5_ds2_us2_bitrateV_95784_bitrateA_5110.mp4
78,vid_78,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf28_AAC_br10_ds2_us2_bitrateV_62602_bitrateA_10076.mp4
79,vid_79,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf28_AAC_br5_ds2_us2_bitrateV_62602_bitrateA_5110.mp4
80,vid_80,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf30_AAC_br5_ds2_us2_bitrateV_45309_bitrateA_5110.mp4
81,vid_81,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf30_AAC_br10_ds2_us2_bitrateV_45309_bitrateA_10076.mp4
82,vid_82,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf32_AAC_br10_ds4_us4_bitrateV_12456_bitrateA_10076.mp4
83,vid_83,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AVC_crf32_AAC_br5_ds4_us4_bitrateV_12456_bitrateA_5110.mp4
84,vid_84,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AV1_crf60_AAC_br5_ds2_us2_bitrateV_10624_bitrateA_5110.mp4
85,vid_85,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AV1_crf60_AAC_br10_ds2_us2_bitrateV_10627_bitrateA_10076.mp4
86,vid_86,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8578_bitrateA_5110.mp4
87,vid_87,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AV1_crf63_AAC_br5_ds1_us1_bitrateV_14156_bitrateA_5110.mp4
88,vid_88,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AV1_crf63_AAC_br10_ds1_us1_bitrateV_14224_bitrateA_10076.mp4
89,vid_89,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_AV1_crf63_AAC_br10_ds2_us2_bitrateV_8578_bitrateA_10076.mp4
90,vid_90,AM,AM_driving_video_AVC_crf20_original_audio_br10.mp4,AM_driving_video_AVC_crf20_resemble_audio.mp4
91,vid_91,AM,AM_AVC_crf26_AAC_br10_ds2_us2_bitrateV_95784_bitrateA_10076.mp4,AM_AVC_crf32_AAC_br10_ds4_us4_bitrateV_12456_bitrateA_10076.mp4
92,vid_92,AM,AM_AVC_crf26_AAC_br5_ds2_us2_bitrateV_95784_bitrateA_5110.mp4,AM_AVC_crf26_AAC_br10_ds2_us2_bitrateV_95784_bitrateA_10076.mp4
